Date,Price,Open,High,Low,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2016-04-12,2.79,2.801,2.835,2.774,-0.11,2.7721999999999998,2.7715778480710695,63.24279447458232,0.04633731235468996,0.04032937538915262,0.006007936965537343
2016-04-11,2.793,2.816,2.822,2.793,-1.24,2.7772,2.7754727847854204,63.625208605185506,0.04528722758926884,0.04132094582917587,0.00396628176009297
2016-04-08,2.828,2.825,2.8498,2.81,0.64,2.7881,2.7850231875517073,67.8302528121879,0.04674044063528626,0.04240484479039795,0.00433559584488831
2016-04-07,2.81,2.849,2.875,2.791,-1.40,2.7946,2.7895644261786696,63.74865485555016,0.045910445835040115,0.04310596499932639,0.0028044808357137255
2016-04-06,2.85,2.84,2.861,2.809,1.14,2.8024,2.800552712328002,68.31191246604482,0.04792785223558793,0.0440703424465787,0.003857509789009228
2016-04-05,2.818,2.8,2.822,2.765,1.00,2.8082000000000003,2.803724946450183,61.62837693572416,0.04640954839287614,0.04453818363583819,0.0018713647570379535
2016-04-04,2.79,2.814,2.854,2.7898,-1.31,2.8082000000000003,2.8012295016410587,56.426219323525586,0.042457492124166496,0.044122045333503855,-0.0016645532093373591
2016-04-01,2.827,2.802,2.84,2.797,0.25,2.8112,2.80591504679723,61.099158690500296,0.04182887263017232,0.04366341079283755,-0.0018345381626652321
2016-03-31,2.82,2.816,2.851,2.798,0.00,2.8134,2.8084759473795513,59.79270475472105,0.040301277612027064,0.04299098415667545,-0.002689706544648389
2016-03-30,2.82,2.848,2.871,2.809,-0.46,2.8146,2.8105712296741783,59.79270475472105,0.03864517008941171,0.04212182134322271,-0.003476651253811004
2016-03-29,2.833,2.846,2.863,2.824,0.04,2.8189,2.8146491879152364,61.56291166661802,0.03794428618890722,0.041286314312359615,-0.003342028123452398
2016-03-24,2.832,2.792,2.858,2.792,0.43,2.8228,2.8178038810215567,61.33919487854875,0.036882975028239784,0.040405646455535654,-0.0035226714272958703
2016-03-23,2.82,2.816,2.8976,2.81,-1.40,2.822,2.8182031753812735,58.58780230698774,0.03467387967411906,0.039259293099252336,-0.004585413425133279
2016-03-22,2.86,2.8,2.862,2.759,1.31,2.827,2.825802598039224,64.33117183216757,0.03573884622374912,0.03855520372415169,-0.002816357500402572
2016-03-21,2.823,2.876,2.886,2.803,-2.39,2.8243,2.8252930347593646,56.52235642999778,0.03321437447518294,0.03748703787435794,-0.0042726633991750015
2016-03-18,2.892,2.88,2.92,2.862,0.07,2.8317,2.8374215738940256,65.04390707104073,0.036362274108355574,0.03726208512115747,-0.0008998110128018988
2016-03-17,2.89,2.878,2.912,2.85,0.70,2.8417,2.846981287731475,64.64838031416872,0.03825464819009072,0.037460597734944125,0.0007940504551465985
2016-03-16,2.87,2.926,2.96,2.869,-1.24,2.846,2.851166508143934,60.67496925739217,0.03770588545424092,0.03750965527880348,0.00019623017543743404
2016-03-15,2.906,2.889,2.919,2.8352,0.21,2.8546,2.8611362339359463,64.86143082832086,0.039718041311290975,0.037951332485300984,0.0017667088259899905
2016-03-14,2.9,2.876,2.915,2.872,1.08,2.8625999999999996,2.8682023732203197,63.64530683813474,0.04036325696782539,0.038433717381805864,0.0019295395860195255
2016-03-11,2.869,2.876,2.892,2.841,0.95,2.8662,2.8683473962711705,57.63279255299348,0.03793585320051962,0.038334144545548614,-0.0003982913450289935
2016-03-10,2.842,2.834,2.93,2.826,0.32,2.8672,2.863556960585503,52.94169631274177,0.033447877562881256,0.037356891149015144,-0.003909013586133887
2016-03-09,2.833,2.849,2.872,2.814,0.04,2.8685,2.858001149569957,51.43869940470778,0.02883253622213422,0.035652020163638956,-0.0068194839415047365
2016-03-08,2.832,2.802,2.853,2.785,-0.14,2.8657,2.8532736678299644,51.2645509735735,0.024808180058048634,0.033483252142520896,-0.008675072084472261
2016-03-07,2.836,2.868,2.871,2.777,-0.60,2.867,2.8501330009517893,51.96508826500706,0.02169156847583853,0.031124915409184425,-0.009433346933345896
2016-03-04,2.853,2.896,2.923,2.819,-1.38,2.8631,2.8506542735060094,54.9302286202222,0.020358706769254553,0.02897167368119845,-0.008612966911943899
2016-03-03,2.893,2.859,2.935,2.846,0.91,2.8634,2.8583534965049164,61.026368048399654,0.022273317035956364,0.027632002352150034,-0.00535868531619367
2016-03-02,2.867,2.803,2.885,2.799,-0.10,2.8631,2.859925588049477,55.74803110460962,0.02144546676586856,0.026394695234893743,-0.004949228469025183
2016-03-01,2.87,2.8,2.918,2.775,7.17,2.8594999999999997,2.8617572993132088,56.21857706423854,0.020791789582569997,0.025274114104428994,-0.004482324521858996
2016-02-29,2.678,2.777,2.78,2.671,-4.93,2.8373,2.8283468812562615,32.4422402694417,0.004726466551979058,0.02116458459393901,-0.01643811804195995
2016-02-26,2.817,2.657,2.824,2.6221,6.95,2.8320999999999996,2.8262838119369413,49.194519778898034,0.003174131225425647,0.017566493920236338,-0.01439236269481069
2016-02-25,2.634,2.55,2.642,2.528,4.03,2.8113,2.791323118857497,36.39788462693457,-0.012676548944671406,0.01151788534725479,-0.024194434291926196
2016-02-24,2.532,2.63,2.669,2.5,-3.73,2.7812,2.7441734608834065,31.482259826786034,-0.03308746305007837,0.002596815667788157,-0.03568427871786653
2016-02-23,2.63,2.299,2.78,2.271,13.71,2.761,2.7234146498136957,39.88287979447704,-0.04088419104662133,-0.006099385675093741,-0.03478480537152759
2016-02-22,2.313,2.351,2.352,2.307,-0.04,2.7087,2.6487938043930237,27.94686642536101,-0.07181457120292611,-0.019242422780660216,-0.0525721484222659
2016-02-19,2.314,2.347,2.352,2.295,-1.15,2.6548000000000003,2.587922203594292,28.020049348541477,-0.09514960327749034,-0.03442385888002624,-0.060725744397464095
2016-02-18,2.341,2.384,2.384,2.335,-1.43,2.5996,2.5430272574862385,30.084843038475327,-0.11019386369742001,-0.049577859843505,-0.06061600385391502
2016-02-17,2.375,2.35,2.383,2.343,1.50,2.5504,2.5124768470341947,32.702796800265645,-0.11801265617802104,-0.06326481911040821,-0.054747837067612826
2016-02-16,2.34,2.357,2.367,2.325,0.34,2.4974000000000003,2.4811174203007043,31.399373649697168,-0.12558563995993888,-0.07572898328031434,-0.049856656679624536
2016-02-15,2.332,2.342,2.374,2.3318,1.97,2.4628,2.4540051620642123,31.09431165358859,-0.13072589061574424,-0.08672836474740032,-0.04399752586834392
2016-02-12,2.287,2.185,2.295,2.163,6.42,2.4097999999999997,2.423640587143446,29.36601101563528,-0.13685314237609614,-0.0967533202731395,-0.040099822102956637
2016-02-11,2.149,2.147,2.21,2.134,-1.38,2.3613,2.3737059349355465,24.81149235298261,-0.15110266278803985,-0.10762318877611958,-0.043479474011920274
2016-02-10,2.179,2.15,2.2,2.131,2.64,2.326,2.338304855856356,27.445919674638333,-0.15815168689667924,-0.11772888840023152,-0.040422798496447726
2016-02-09,2.123,2.197,2.203,2.083,-3.37,2.2753,2.2991585184279275,25.639977453709733,-0.1663393646239988,-0.12745098364498497,-0.038888380979013815
2016-02-08,2.197,2.329,2.337,2.174,-5.26,2.2637,2.2805842423501224,32.006762132781915,-0.16495547264826316,-0.1349518814456406,-0.030003591202622554
2016-02-05,2.319,2.378,2.386,2.315,-2.11,2.2641999999999998,2.287568925559191,40.97898616894236,-0.15225919861999992,-0.13841334488051246,-0.013845853739487463
2016-02-04,2.369,2.422,2.422,2.334,-0.13,2.2670000000000003,2.30237457545752,44.22725004224139,-0.13658822382725821,-0.1380483206698616,0.0014600968426033978
2016-02-03,2.372,2.412,2.432,2.359,-1.70,2.2667,2.3150337435561523,44.42488371909333,-0.12251451737907315,-0.13494156001170393,0.01242704263263078
2016-02-02,2.413,2.454,2.463,2.413,-1.95,2.274,2.3328457901823065,47.17966623811036,-0.10682127708628908,-0.12931750342662096,0.022496226340331882
2016-02-01,2.461,2.483,2.493,2.437,-0.53,2.2869,2.356146555603705,50.286535863045586,-0.08947960703255475,-0.12134992414780774,0.03187031711525298
2016-01-29,2.474,2.448,2.474,2.439,2.61,2.3056,2.3775744545848494,51.125020812942715,-0.07383608084193627,-0.11184715548663346,0.03801107464469719
