Date,Price,Open,High,Low,Vol.,Change %
1997-09-16,"6,865.25","6,827.56","6,867.30","6,821.19",73.04M,1.14%
1997-09-17,"6,898.09","6,886.41","6,906.04","6,884.24",64.81M,0.48%
1997-09-18,"6,970.29","6,923.29","6,998.47","6,923.29",75.68M,1.05%
1997-09-19,"6,982.70","6,958.57","6,982.70","6,958.57",68.24M,0.18%
1997-09-22,"7,015.10","7,002.20","7,015.45","6,999.58",47.44M,0.46%
1997-09-23,"7,014.23","7,005.52","7,014.23","6,998.25",61.97M,-0.01%
1997-09-24,"7,011.82","7,016.65","7,035.90","7,004.89",30.29M,-0.03%
1997-09-25,"6,975.72","6,992.79","7,014.18","6,968.76",93.49M,-0.51%
1997-09-26,"6,975.88","6,989.40","6,992.08","6,954.72",61.08M,0.00%
1997-09-29,"7,012.46","6,969.50","7,012.46","6,969.50",52.82M,0.52%
1997-09-30,"7,040.23","7,032.77","7,068.58","7,032.77",75.71M,0.40%
1997-10-01,"7,044.59","7,070.67","7,071.01","7,038.64",65.96M,0.06%
1997-10-02,"7,055.52","7,067.38","7,072.23","7,053.86",57.32M,0.16%
1997-10-03,"7,091.87","7,129.06","7,129.06","7,075.92",65.00M,0.52%
1997-10-06,"7,168.38","7,106.80","7,168.38","7,106.80",52.09M,1.08%
1997-10-07,"7,209.93","7,192.33","7,210.94","7,192.33",62.16M,0.58%
1997-10-08,"7,193.50","7,223.42","7,223.42","7,167.44",59.06M,-0.23%
1997-10-09,"7,132.54","7,141.07","7,155.50","7,128.38",59.86M,-0.85%
1997-10-10,"7,110.41","7,102.11","7,110.41","7,095.00",40.53M,-0.31%
1997-10-14,"7,168.77","7,166.90","7,168.84","7,133.98",43.06M,0.82%
1997-10-15,"7,128.90","7,131.18","7,151.47","7,128.90",49.74M,-0.56%
1997-10-16,"7,092.12","7,158.63","7,165.46","7,082.34",59.93M,-0.52%
1997-10-17,"7,036.50","7,062.61","7,062.61","6,993.11",52.52M,-0.78%
1997-10-20,"7,075.43","7,032.10","7,075.43","7,019.39",35.97M,0.55%
1997-10-21,"7,137.27","7,104.08","7,137.27","7,086.82",64.99M,0.87%
1997-10-22,"7,163.76","7,131.24","7,163.76","7,124.31",60.94M,0.37%
1997-10-23,"7,073.80","7,053.11","7,091.97","7,046.41",59.39M,-1.26%
1997-10-24,"7,033.49","7,108.73","7,108.73","7,031.51",67.62M,-0.57%
1997-10-27,"6,599.24","6,965.94","6,965.94","6,599.24",63.00M,-6.17%
1997-10-28,"6,736.31","6,355.20","6,736.62","6,355.20",8.40M,2.08%
